,Group A:,'003,,,,Group B:,'115,,,,Group C:,'114
,,Engine Speed,Mass Air Flow,Throttle Valve Angle,Ignition,,Engine Speed,Engine Load,Boost Pressure,Boost Pressure,,Engine Load,Engine Load,Engine Load,Boost Pressure
,TIME,(G28),Sensor (G70),,Timing Angle,TIME,(G28),,(specified),(actual),TIME,(specified),(spec. corrected),(actual Value),Control (N75)
Marker,STAMP, /min, g/s, %, °BTDC,STAMP, /min, %, mbar, mbar,STAMP, %, %, %, %
,0.17,1800,7.31,6.7,15.8,0.29,1840,18.0,350.0,1040.0,0.04,94.7,94.7,17.3,0.0
,0.56,1840,7.08,6.7,15.8,0.68,1800,18.0,350.0,1030.0,0.43,94.7,94.7,18.0,0.0
,0.95,1800,7.50,6.7,15.8,1.07,1840,18.8,350.0,1030.0,0.81,94.7,94.7,18.8,0.0
,1.32,1840,7.36,7.1,13.5,1.47,1840,18.8,350.0,1030.0,1.20,94.7,94.7,18.8,0.0
,1.71,1840,7.25,6.7,15.8,1.84,1840,18.0,350.0,1020.0,1.59,94.7,94.7,18.0,0.0
,2.10,1840,7.56,6.7,15.8,2.23,1840,18.8,350.0,1020.0,1.98,94.7,94.7,18.8,0.0
,2.50,1840,7.56,6.7,15.8,2.62,1840,18.8,360.0,1020.0,2.36,94.7,94.7,18.0,0.0
,2.87,1880,7.72,7.1,15.8,3.01,1840,19.5,410.0,1020.0,2.75,94.7,94.7,18.8,0.0
,3.26,1880,8.94,8.2,15.8,3.39,1880,22.6,430.0,1020.0,3.14,94.0,94.0,20.3,0.0
,3.67,1920,9.58,8.6,15.8,3.79,1880,22.6,430.0,1030.0,3.54,94.0,94.0,22.6,0.0
,4.06,1920,9.50,8.6,15.8,4.18,1920,22.6,420.0,1030.0,3.92,93.2,93.2,22.6,0.0
,4.43,1920,9.39,8.6,15.8,4.57,1960,22.6,420.0,1030.0,4.31,93.2,93.2,22.6,0.0
,4.82,1960,10.50,9.0,15.8,4.95,2000,24.1,480.0,1030.0,4.70,93.2,93.2,22.6,0.0
,5.21,2000,14.14,12.5,11.3,5.34,2040,37.6,690.0,1030.0,5.09,93.2,93.2,27.1,0.0
,5.61,2080,19.64,15.7,18.0,5.73,2120,42.1,770.0,1080.0,5.46,93.2,93.2,38.3,0.0
,5.98,2200,22.00,16.1,17.3,6.12,2240,44.4,740.0,1140.0,5.86,94.0,94.0,43.6,0.0
,6.37,2320,22.94,15.7,16.5,6.49,2320,46.6,740.0,1180.0,6.25,95.5,95.5,45.1,0.0
,6.76,2400,24.61,15.7,15.0,6.89,2440,45.9,770.0,1200.0,6.64,94.0,94.0,46.6,0.0
,7.16,2560,31.00,18.8,12.0,7.28,2560,57.1,990.0,1230.0,7.01,94.0,94.0,48.1,0.0
,7.53,2680,43.86,23.1,8.3,7.67,2760,75.2,1110.0,1290.0,7.40,94.7,94.7,61.7,0.8
,7.92,2920,58.47,70.6,5.3,8.04,2960,91.0,1260.0,1320.0,7.79,97.7,97.7,76.7,0.8
,8.31,3120,63.28,97.3,5.3,8.43,3200,91.0,1340.0,1350.0,8.18,98.5,98.5,89.5,0.8
,8.71,3360,65.39,98.8,6.0,8.84,3480,88.7,1320.0,1330.0,8.56,99.2,99.2,91.0,0.8
,9.09,3640,69.03,96.5,7.5,9.23,3720,88.7,1330.0,1320.0,8.96,98.5,98.5,88.7,0.8
,9.48,3840,73.17,96.9,8.3,9.60,3960,87.2,1360.0,1310.0,9.35,100.8,100.8,88.7,2.0
,9.87,4120,77.61,96.9,9.0,10.00,4200,88.0,1330.0,1300.0,9.75,102.3,102.3,87.2,5.1
,10.26,4360,82.97,99.6,9.0,10.39,4440,89.5,1370.0,1260.0,10.12,101.5,101.5,88.7,8.2
,10.64,4600,88.08,99.6,8.3,10.78,4680,91.7,1220.0,1260.0,10.51,103.8,103.8,89.5,14.5
,11.03,4720,42.36,16.9,12.0,11.15,4680,16.5,330.0,1270.0,10.90,106.8,106.8,85.7,0.0
,11.42,4240,14.64,11.8,-0.8,11.55,4040,16.5,330.0,1100.0,11.29,101.5,101.5,14.3,0.0
,11.81,3400,15.08,10.6,-4.5,11.93,3160,17.3,330.0,1070.0,11.67,97.7,97.7,17.3,0.0
,12.18,3160,12.25,9.8,-3.8,12.33,3080,16.5,320.0,1070.0,12.06,94.0,94.0,15.8,0.0
